Title,Year,Acronym
BeeSwarm: Enabling Parallel Scaling Performance Measurement in Continuous Integration for HPC Applications,2021,ASE
Infrastructure in Code: Towards Developer-Friendly Cloud Applications,2021,ASE
Metamorphic Testing on Multi-module UAV Systems,2021,ASE
An Empirical Study on Obsolete Issue Reports,2021,ASE
Learning Domain-Specific Edit Operations from Model Repositories with Frequent Subgraph Mining,2021,ASE
Evolutionary-Guided Synthesis of Verified Pareto-Optimal MDP Policies,2021,ASE
Semi-automated Cross-Component Issue Management and Impact Analysis,2021,ASE
FRUGAL: Unlocking Semi-Supervised Learning for Software Analytics,2021,ASE
VizSmith: Automated Visualization Synthesis by Mining Data-Science Notebooks,2021,ASE
Efficient state synchronisation in model-based testing through reinforcement learning,2021,ASE
A Compositional Deadlock Detector for Android Java,2021,ASE
SATune: A Study-Driven Auto-Tuning Approach for Configurable Software Verification Tools,2021,ASE
DEVIATE: A Deep Learning Variance Testing Framework,2021,ASE
Race Detection for Event-Driven Node.js Applications,2021,ASE
Interactive Cross-language Code Retrieval with Auto-Encoders,2021,ASE
CiFi: Versatile Analysis of Class and Field Immutability,2021,ASE
Lessons learned from hyper-parameter tuning for microservice candidate identification,2021,ASE
JSTAR: JavaScript Specification Type Analyzer using Refinement,2021,ASE
Shaker: a Tool for Detecting More Flaky Tests Faster,2021,ASE
CorbFuzz: Checking Browser Security Policies with Fuzzing,2021,ASE
Property-based Test for Part-of-Speech Tagging Tool,2021,ASE
Learning GraphQL Query Cost,2021,ASE
Privacy as first-class requirements in software development: A socio-technical approach,2021,ASE
Distribution Models for Falsification and Verification of DNNs,2021,ASE
Genetic Optimisation of C++ Applications,2021,ASE
Improving Configurability of Unit-level Continuous Fuzzing: An Industrial Case Study with SAP HANA,2021,ASE
Binary Diffing as a Network Alignment Problem via Belief Propagation,2021,ASE
Intelligent Change Operators for Multi-Objective Refactoring,2021,ASE
Automated Code Refactoring upon Database-Schema Changes in Web Applications,2021,ASE
An Automated Pipeline for Privacy Leak Analysis of Android Applications,2021,ASE
Towards Fluid Software Architectures: Bidirectional Human-AI Interaction,2021,ASE
Modeling Team Dynamics for the Characterization and Prediction of Delays in User Stories,2021,ASE
"Data-Driven Design and Evaluation of SMT Meta-Solving Strategies: Balancing Performance, Accuracy, and Cost",2021,ASE
Cross-Lingual Transfer Learning Framework for Program Analysis,2021,ASE
Fuzzing Methods Recommendation Based on Feature Vectors,2021,ASE
JTDog: a Gradle Plugin for Dynamic Test Smell Detection,2021,ASE
Automatic HMI Structure Exploration Via Curiosity-Based Reinforcement Learning,2021,ASE
Automatically Deciding on the Integration of Commits Based on Their Descriptions,2021,ASE
Adaptation<sup>2</sup>: Adapting Specification Learners in Assured Adaptive Systems,2021,ASE
Towards a Serverless Java Runtime,2021,ASE
BeAFix: An Automated Repair Tool for Faulty Alloy Models,2021,ASE
Understanding Code Fragments with Issue Reports,2021,ASE
Business Process Extraction Using Static Analysis,2021,ASE
Towards the generation of machine learning defect reports,2021,ASE
Mining Cross-Domain Apps for Software Evolution: A Feature-based Approach,2021,ASE
Q&amp;A MAESTRO: Q&amp;A Post Recommendation for Fixing Java Runtime Exceptions,2021,ASE
Defeating Program Analysis Techniques via Ambiguous Translation,2021,ASE
Training Automated Test Oracles to Identify Semantic Bugs,2021,ASE
Dynamic Generation of Python Bindings for HPC Kernels,2021,ASE
ASE: A Value Set Decision Procedure for Symbolic Execution,2021,ASE
Learning-based Assistant for Data Migration of Enterprise Information Systems,2021,ASE
FLACK: Localizing Faults in Alloy Models,2021,ASE
"API Compatibility Issue Detection, Testing and Analysis for Android Apps",2021,ASE
On Multi-Modal Learning of Editing Source Code,2021,ASE
Revizor: A Data-Driven Approach to Automate Frequent Code Changes Based on Graph Matching,2021,ASE
Using Version Control and Issue Tickets to detect Code Debt and Economical Cost,2021,ASE
Reducing Time-To-Fix For Fuzzer Bugs,2021,ASE
Transforming Monolithic Applications to Microservices with Mono2Micro,2021,ASE
Tackling Flaky Tests: Understanding the Problem and Providing Practical Solutions,2021,ASE
Access Control Tree for Testing and Learning,2021,ASE
Shake Those System Parameters! On the Need for Parameter Coverage for Decision Systems,2021,ASE
Quality analysis of mobile applications with special focus on security aspects,2021,ASE
Transforming Monolithic Applications to Microservices with Mono2Micro,2021,ASE
Decoupling Server and Client Code Through Cloud-Native Domain-Specific Functions,2021,ASE
GenTree: Inferring Configuration Interactions using Decision Trees,2021,ASE
Evaluating Semantic Autocompletion of Business Processes with Domain Experts,2021,ASE
Effectively Analyzing Evolving Software with Differential Facts,2021,ASE
Transcode: Detecting Status Code Mapping Errors in Large-Scale Systems,2021,ASE
FinFuzzer: One Step Further in Fuzzing Fintech Systems,2021,ASE
EvoMe: A Software Evolution Management Engine Based on Differential Factbase,2021,ASE
A Mocktail of Source Code Representations,2021,ASE
What do pre-trained code models know about code?,2021,ASE
A Program Synthesis Approach for Adding Architectural Tactics to An Existing Code Base,2021,ASE
Learning Patterns in Configuration,2021,ASE
How Can Subgroup Discovery Help AIOps?,2021,ASE
Nekara: Generalized Concurrency Testing,2021,ASE
Improving Mutation-Based Fault Localization with Plausible-code Generating Mutation Operators,2021,ASE
A First Look at the Effect of Deep Learning in Coverage-guided Fuzzing,2021,ASE
Message from the Chairs,2021,ASE
DSInfoSearch: Supporting Experimentation Process of Data Scientists,2021,ASE
Table of Contents,2021,ASE
Automatically Annotating Sentences for Task-specific Bug Report Summarization,2021,ASE
Enhancing Requirements Reuse through Automated Similarity Matching,2021,ASE
Program Committee,2021,ASE
Enhancing Requirements Reuse through Automated Similarity Matching,2021,ASE
Sponsors,2021,ASE
Author Index,2021,ASE
Detecting Adversarial Samples with Graph-Guided Testing,2021,ASE
Counterexample Guided Inductive Repair of Reactive Contracts,2021,ASE
Organizing Committee,2021,ASE
[Title page i],2021,ASE
Program Synthesis with Algorithm Pseudocode Guidance,2021,ASE
Understanding Security Issues in the NFT Ecosystem,2022,CCS
Enhanced Membership Inference Attacks against Machine Learning Models,2022,CCS
Bullshark,2022,CCS
zkBridge,2022,CCS
Graph Unlearning,2022,CCS
Eluding Secure Aggregation in Federated Learning via Model Inconsistency,2022,CCS
Membership Inference Attacks by Exploiting Loss Trajectory,2022,CCS
Empirical Analysis of EIP-1559,2022,CCS
AI/ML for Network Security,2022,CCS
On the Adaptive Security of the Threshold BLS Signature Scheme,2022,CCS
Blazing Fast PSI from Improved OKVS and Subfield VOLE,2022,CCS
Dumbo-NG,2022,CCS
LibAFL,2022,CCS
EIFFeL,2022,CCS
EchoHand,2022,CCS
DriveFuzz,2022,CCS
"Practical, Round-Optimal Lattice-Based Blind Signatures",2022,CCS
Truth Serum,2022,CCS
SymLM,2022,CCS
ROAST: Robust Asynchronous Schnorr Threshold Signatures,2022,CCS
PACE,2022,CCS
Bolt-Dumbo Transformer,2022,CCS
SortingHat,2022,CCS
JIT-Picking,2022,CCS
Caulk,2022,CCS
Are Attribute Inference Attacks Just Imputation?,2022,CCS
FABEO,2022,CCS
META-BTS,2022,CCS
Shorter Signatures Based on Tailor-Made Minimalist Symmetric-Key Crypto,2022,CCS
StrongBox,2022,CCS
L-SRR,2022,CCS
Why So Toxic?,2022,CCS
Foundations of Coin Mixing Services,2022,CCS
Squirrel,2022,CCS
Frequency Throttling Side-Channel Attack,2022,CCS
ATTRITION: Attacking Static Hardware Trojan Detection Techniques Using Reinforcement Learning,2022,CCS
Freely Given Consent?,2022,CCS
When Frodo Flips,2022,CCS
Sigstore,2022,CCS
Reinforced Concrete,2022,CCS
Group Property Inference Attacks Against Graph Neural Networks,2022,CCS
VRust,2022,CCS
PEReDi,2022,CCS
DirtyCred,2022,CCS
Practical Volume-Hiding Encrypted Multi-Maps with Optimal Overhead and Beyond,2022,CCS
Chaghri - A FHE-friendly Block Cipher,2022,CCS
Improving Line-Point Zero Knowledge,2022,CCS
Cross Miniapp Request Forgery,2022,CCS
Understanding IoT Security from a Market-Scale Perspective,2022,CCS
Exposing the Rat in the Tunnel,2022,CCS
Platypus,2022,CCS
On the (In)Security of Secure ROS2,2022,CCS
AntMan,2022,CCS
Clues in Tweets,2022,CCS
SSLGuard,2022,CCS
Understanding Real-world Threats to Deep Learning Models in Android Apps,2022,CCS
Federated Boosted Decision Trees with Differential Privacy,2022,CCS
Efficient Secure Three-Party Sorting with Applications to Data Analysis and Heavy Hitters,2022,CCS
Differentially Private Triangle and 4-Cycle Counting in the Shuffle Model,2022,CCS
PACMem,2022,CCS
Leakage Inversion,2022,CCS
Harnessing Perceptual Adversarial Patches for Crowd Counting,2022,CCS
TChecker,2022,CCS
Sleepy Channels,2022,CCS
TurboPack,2022,CCS
StolenEncoder,2022,CCS
The Generals' Scuttlebutt,2022,CCS
Poster,2022,CCS
GearBox,2022,CCS
Discovering IoT Physical Channel Vulnerabilities,2022,CCS
